CHR	Strain	mean_depth	chrlen
8	CCFEE_5036	1.77	1247722
15	CCFEE_5036	1.83	699649
8	CCFEE_5044	1.67	1247722
15	CCFEE_5044	1.75	699649
2	CCFEE_5056	1.6	1611863
3	CCFEE_5056	2.04	1471132
4	CCFEE_5056	3.31	1468900
5	CCFEE_5056	1.69	1396382
6	CCFEE_5056	3.94	1286126
7	CCFEE_5056	2.34	1265705
9	CCFEE_5056	1.82	1034445
10	CCFEE_5056	2.18	987275
11	CCFEE_5056	9.03	955579
14	CCFEE_5056	2.55	764887
18	CCFEE_5056	5.48	642743
6	CHIFNET_12H1239	1.9	1286126
6	CHIFNET_18TZ699	1.91	1286126
17	DBVPG_4201	1.99	654850
17	DBVPG_4304	2.05	654850
16	DBVPG_4378	1.76	665637
17	DBVPG_4947	1.88	654850
8	DBVPG_4956	1.92	1247722
19	DBVPG_5759	1.91	278999
1	DBVPG_6094	1.54	2175785
3	DBVPG_6094	1.69	1471132
6	DBVPG_6094	1.91	1286126
9	DBVPG_6094	1.74	1034445
10	DBVPG_6094	1.51	987275
13	DBVPG_6094	1.59	811507
14	DBVPG_6094	1.74	764887
15	DBVPG_6094	1.61	699649
17	DBVPG_6094	1.63	654850
18	DBVPG_6094	2.96	642743
17	DBVPG_6742	2.09	654850
3	EXF_10533	1.64	1471132
5	EXF_10533	1.65	1396382
6	EXF_10533	1.79	1286126
7	EXF_10533	1.57	1265705
11	EXF_10533	2.39	955579
14	EXF_10533	1.54	764887
8	EXF_13255	1.82	1247722
9	EXF_13255	1.71	1034445
18	EXF_8463	1.92	642743
19	EXF_8463	1.86	278999
17	EXF_8984	1.91	654850
6	F6_7S_P_6B	1.69	1286126
8	F6_7S_P_7A	1.81	1247722
8	F6_7S_P_7B	1.83	1247722
8	F6_7S_P_7C	1.83	1247722
6	F8_3S_2P	1.7	1286126
6	IF3SG-B1	1.65	1286126
6	IF6SG-B1	1.67	1286126
6	IF8SW-B2	1.69	1286126
17	TFCN_107C-3	1.94	654850
16	TFCN_137D-4	1.83	665637
17	TFCN_17-0-2E334-10	1.71	654850
17	TFCN_17-337P-5	1.57	654850
13	TFCN_213-6-4	1.87	811507
14	TFCN_213-6-4	1.82	764887
11	TFCN_25-0-2E332-1	1.56	955579
18	TFCN_25-0-2E332-1	1.66	642743
4	TFCN_25-332D-2	2.09	1468900
7	TFCN_25-332D-2	1.66	1265705
10	TFCN_25-332D-2	1.66	987275
11	TFCN_25-332D-2	2.65	955579
18	TFCN_25-332D-2	2.41	642743
11	TFCN_25-332M-2	1.62	955579
18	TFCN_25-332M-2	1.55	642743
17	TFCN_25-333Y-9	1.83	654850
16	TFCN_86A-12	2.12	665637
