CHR	Strain	median_depth	chrlen
8	CCFEE_5036	1.83	1247722
15	CCFEE_5036	1.88	699649
8	CCFEE_5044	1.72	1247722
15	CCFEE_5044	1.79	699649
6	CHIFNET_12H1239	1.95	1286126
6	CHIFNET_14NJ268	1.6	1286126
6	CHIFNET_18TZ699	1.95	1286126
17	DBVPG_4201	1.95	654850
17	DBVPG_4304	1.96	654850
16	DBVPG_4378	1.78	665637
17	DBVPG_4947	1.81	654850
8	DBVPG_4956	1.96	1247722
19	DBVPG_5759	1.77	278999
10	DBVPG_6094	1.67	987275
14	DBVPG_6094	1.67	764887
17	DBVPG_6094	1.67	654850
18	DBVPG_6094	1.67	642743
17	DBVPG_6742	1.99	654850
8	EXF_13255	1.92	1247722
9	EXF_13255	1.89	1034445
18	EXF_8463	1.94	642743
19	EXF_8463	1.91	278999
17	EXF_8984	1.89	654850
6	F6_7S_P_6B	1.7	1286126
8	F6_7S_P_7A	1.89	1247722
8	F6_7S_P_7B	1.91	1247722
8	F6_7S_P_7C	1.91	1247722
6	F8_3S_2P	1.75	1286126
6	IF3SG-B1	1.69	1286126
6	IF6SG-B1	1.72	1286126
6	IF8SW-B2	1.75	1286126
17	TFCN_107C-3	1.99	654850
16	TFCN_137D-4	1.72	665637
17	TFCN_17-0-2E334-10	1.74	654850
17	TFCN_17-337P-5	1.59	654850
13	TFCN_213-6-4	1.87	811507
14	TFCN_213-6-4	1.86	764887
17	TFCN_25-333Y-9	1.89	654850
16	TFCN_86A-12	2.03	665637
